Nv1;Nv2;Nv3;Causa;Solucao
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	O número adequado de terminais foi definido na tela de configuração da HMI
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	Seleção correta do sensor de cor / contagem na configuração da tela de configuração HMI
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	A ponte do sensor de bastão curto é ajustada na posição adequada para a contagem de bolsas.
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	Alinhamento do contador Sencon.
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	Posição correta do interruptor no Sencon
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	Ajuste de sensibilidade do sensor de contagem Sencon por ajuste recomendado procedimento
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	Limpe as lentes do sensor de contagem Sencon
Problema contador de tampas?;	Número impróprio de tampas em um bag;	;	;	Mudanças de ferramentas na prensa de conversão para variação do comprimento do braço
Problema elevador?;	Problemas com a mesa de carga e elevador - Operação de elevador;	;	;	Verifique a condição dos componentes do transportador. O elevador deve estar firmemente conectado ao cilindro de ar e rolamentos de guia
Problema elevador?;	Problemas com a mesa de carga e elevador - Operação de elevador;	;	;	Verifique a posição e função da extensão / retração do elevador superior e inferior sensores. Os sensores devem ser montados com firmeza, ajustados corretamente e desobstruídos.
Problema elevador?;	Problemas com o transportador de descarga;	;	;	Verifique a posição do sensor de proximidade de demanda para que ele detecte as tampas do transportador. Ajuste-o para que as tampas não batam durante a transferência.
Problema First frame?;	Configuração da ponte do sensor de stick curto;	;	;	Se a contagem anterior no HMI mostrar abaixo do ponto de ajuste, o stick está sendo cortado imediatamente quando o sensor de stick longo fica bloqueado. Neste caso, mova o sensor ponte para longe da alimentação.
Problema First frame?;	Configuração da ponte do sensor de stick curto;	;	;	Se a contagem anterior no HMI mostrar mais alto do que o ponto de ajuste, o stick está sendo cortado imediatamente quando o sensor de stick curto fica bloqueado. Neste caso, mova o sensor ponte em direção a partir da alimentação.
Problema First frame?;	Configuração do interruptor de direção Sencon;	;	;	Certifique-se de que o interruptor de direção Sencon está definido para a posição certa para o fluxo final e que seus cliques no lugar.
Problema First frame?;	Ajuste do sensor de contagem Sencon;	;	;	O sensor fornecido é definido para tamanho final e brilho “médios”. Ajuste de sintonia fina é necessário para a operação adequada. Para ajustar a sensibilidade do sensor: 1. Pegue uma quantidade conhecida de pontas (20, 50 ou 100) e passe-as como um grupo aninhado passado a face do sensor na direção para frente. 2. Ajuste o potenciômetro de SENSIBILIDADE para cima ou para baixo até que o LED vermelho SETUP comece a piscar e, em seguida, gire o potenciômetro para baixo até parar. (Este é o ótimo configuração). Nota: O LED SETUP verde deve piscar uniformemente enquanto as pontas estão passando. O vermelho O LED SETUP nunca deve acender. Se o contador estiver correto (permitindo dividir por opção selecionada), a configuração está concluída.
Problema First frame?;	Tampas no chão perto do Cutoff;	;	;	Configuração incorreta do conjunto de corte em relação às tampas (muito alto ou deslocamento para frente irregular)
Problema First frame?;	Tampas no chão perto do Cutoff;	;	;	A faca de corte está danificada
Problema First frame?;	Montagem de configuração correta;	;	;	O ajuste desigual do sistema de corte pode resultar em perda de pontas quando o stick está sendo transferido da posição de corte para a posição de transporte. Verifique a posição da faca ao estender na posição de corte e na posição para frente. A faca deve ser estendido em relação ao painel igual em ambas as posições. Use os pinos de ajuste para nivelar. Nota: Para alguns diâmetros finais, um bloco espaçador é fornecido como uma peça de mudança entre os lâmina da faca e o cilindro. Certifique-se de que esta parte esteja instalada se necessário para um determinado produto executado.
Problema First frame?;	Cutoff danificado;	;	;	Certifique-se de que as tampas da faca cortada não estejam danificadas e que o fio da faca esteja bem polido. Substitua se necessário.
Problema IHM?;	Para responder a uma falha da máquina;	;	;	1. Verifique qual falha ocorreu. 2. Tome medidas para corrigir a falha. 3. Limpe todas as tampas indesejadas. 4. Verifique se há algum dano na máquina e tome a ação corretiva ou coloque-a em uma lista para o próxima PM. 5. Toque no botão FAULT RESET no visor da interface. Quando todas as falhas forem eliminadas, toque no botão CICLO DE INÍCIO. Nota: Se uma falha foi corrigida, mas mais de uma ocorreu, o a máquina não liga. Verifique se há falhas adicionais que devem ser corrigido
Problema IHM?;	Definição da tela de configuração HMI;	;	;	Certifique-se de que o número adequado de tampas esteja definido na tela de configuração da HMI
Problema IHM?;	Definição da tela de configuração HMI;	;	;	Certifique-se de que a seleção correta do sensor de cor / contagem na tela de configuração da HMI esteja definida.
Problema Robô?;	Problemas de coleta de bags cheios;	;	;	Verifique a condição dos bags cheios sendo entregues na mesa de camadas. São as dobras do bem qualidade? As dobras estão tortas ou os bags se espalham ao serem colocados? Má qualidade distorcida dobras resultarão em posicionamento desigual na mesa de camadas, resultando em falhas na coleta do bag.
Problema Robô?;	Ajuste de vácuo EOAT;	;	;	Se a leitura for baixa em todos os pockets: - Certifique-se de que o FRL principal para o paletizador esteja definido para pelo menos 87 PSI. - Verifique todas as linhas aéreas, do gerador de vácuo aos cabeçotes de coleta Se a leitura for baixa em um único pocket, verifique a condição das almofadas de espuma.
Problema Second Frame?;	Tampas caem no primeiro quadro pick-and-place;	;	;	Certifique-se de que o air shower na tampa principal do stick esteja localizado em sua posição adequada para a contagem de stick.
Problema Second Frame?;	Tampas caem no primeiro quadro pick-and-place;	;	;	Certifique-se de que as paredes do bolso do Lexan não estejam danificadas e que contenham o stick comprimento total do pocket.
Problema Second Frame?;	Tampas caem no primeiro quadro pick-and-place;	;	;	Certifique-se de que o cilindro do pocket aberto está operando corretamente e que todos os eixos de comando está em funcionamento.
Problema Second Frame?;	Tampas caem no primeiro quadro pick-and-place;	;	;	Certifique-se de que as 5 molas de fechamento estejam funcionando corretamente
Problema Second Frame?;	Posição do air shower;	;	;	Certifique-se de que o air shower de pick-and-place está ajustado para a posição correta na pick-and-place coloque o pocket. A cabeça do air shower (152.4 milimetros) deve estar a aproximadamente 6 polegadas de distância a tampa principal do stick no pocket. Use o parafuso de aperto manual para ajustar a posição ao longo o comprimento do pocket.
Problema Second Frame?;	Lexan pocket danificado;	;	;	Verifique a condição das paredes do compartimento do Lexan (plástico transparente). Certifique-se de que não haja rachaduras, áreas quebradas na parede do pocket que podem causar a queda de tampas ou seções inteiras de sticks cair.
Problema Second Frame?;	Pocket aberto - Operação do cilindro;	;	;	As paredes do pocket pick-and-place são abertas e fechadas com uma série de cames em um eixo que é acionado por um cilindro de ar na extremidade do pocket. Se houver problemas com o abertura ou fechamento do pocket, as tampas podem cair das paredes do pocket. Teste o pocket com o cilindro aberto com um pocket vazio no modo manual para confirmar as funções do cilindro corretamente.
Problema Second Frame?;	Danos das molas de fechamento;	;	;	Certifique-se de que as 5 molas de fechamento estejam funcionando corretamente. As molas mantêm o pocket fechado em uma condição de parada de emergência. Se alguma dessas molas estiver danificada ou faltando, a tampa pode cair das paredes do pocket. Substitua quaisquer molas quebradas ou ausentes conforme necessário.
Problema Second Frame?;	Problemas com bags abertos;	;	;	Verifique o estado das ventosas. Procure rachaduras ou desgaste
Problema Second Frame?;	Problemas com bags abertos;	;	;	Verifique a altura adequada da lâmina da ventosa na posição estendida
Problema Second Frame?;	Problemas com bags abertos;	;	;	Verifique o ajuste de pressão adequado na válvula da bomba de vácuo.
Problema Second Frame?;	Problemas com bags abertos;	;	;	Verifique se há vazamentos nas linhas de vácuo
Problema Second Frame?;	Problemas com bags abertos;	;	;	Verifique as condições dos bags que estão falhando. (Eles estão colados? Amassados para não abrir devidamente?)
Problema Second Frame?;	Problemas com bags abertos;	;	;	Verifique o alinhamento das ventosas com o centro do bag.
Problema Second Frame?;	Problemas com bags abertos;	;	;	Verifique o alinhamento da ventosa superior com as ventosas inferiores.
Problema Second Frame?;	Vácuo danificado;	;	;	As ventosas devem estar livres de desgaste ou rachaduras que possam fazer com que os bags não abram devidamente. Substitua as ventosas conforme necessário.
Problema Second Frame?;	Pressão inadequada da válvula da bomba de vácuo;	;	;	Certifique-se de que a pressão de ar para o suprimento de ventosas inferiores está definida para 40 PSI, no mínimo. O regulador está localizado na parte inferior do conjunto do abridor de bag.
Problema Second Frame?;	Vazamentos de linha de vácuo;	;	;	Verifique todas as linhas de vácuo e acessórios da válvula de vácuo aos conjuntos de ventosas quanto a vazamentos. Qualquer vazamento pode resultar em falhas de bag aberto e carregamento de bags parcialmente abertos.
Problema Second Frame?;	Falha na qualidade do bag;	;	;	Bags do fabricante de bags vazios podem ficar grudados. Consulte procedimento ao carregamento de bags vazios e espalhe os bags antes de colocá-los na gaveta de bags.
Problema Second Frame?;	Falha na qualidade do bag;	;	;	Os bags podem ficar amassados pela embalagem. Bags vincados causarão falhas ao tentar seraberto. Os bags devem ser inspecionados visualmente antes de serem colocadas nas gavetas vazias.
Problema Second Frame?;	Desalinhamento da ventosa de vácuo;	;	;	As ventosas superiores e inferiores devem ser alinhadas corretamente na posição de abertura do bag. As ventosas inferiores são ligeiramente recuados em direção ao final do saco.
Problema Second Frame?;	Problemas de explosão de bags muito apertados;	;	;	Má colagem na tampa com a costura do bag e ao longo da lateral do bag.
Problema Second Frame?;	Problemas de explosão de bags muito apertados;	;	;	Perda de função das ventosas de bag vazio.
Problema Second Frame?;	Problemas de explosão de bags muito apertados;	;	;	Posição de coleta incorreta nos hoppers dos bags vazios e consequentemente colocação no funil de abertura do bag.
Problema Second Frame?;	Problemas de explosão de bags muito apertados;	;	;	Funil de alimentação do bag gasto ou desajustado.
Problema Second Frame?;	Problemas de explosão de bags muito apertados;	;	;	Tampas soltas ou caídas na via de carregamento.
