Nv1;Nv2;Causa;Solucao
Transmissão;Ruído alto ou série de ruídos durante o acionamento da máquina.;A Correia da Transmissão Principal está muito solta  fazendo com que a Correia pule e crie ruídos.;Aperte as Correias de Transmissão.
Transmissão;Chiado excessivo no motor da Transmissão Principal. ;A Correia da Transmissão Principal está muito apertada  causando tensão excessiva no motor.;Alivie um pouco de tensão na Correia da Transmissão Principal.
Pneumático;A máquina emperra ou não para.;A pressão de ar aos Freios está muito baixa.  ;Aumente a pressão do ar ao Frio.
Transmissão;A máquina emperra ou não para.;O Encaixe Flexível entre o Freio e a Caixa de Engrenagens está solto.;Reajuste o Encaixe e aperte os Parafusos de Ajuste.
Alimentação de compound;Reajuste o Encaixe e aperte os Parafusos de Ajuste.;Pedaços duros de Componente entraram no filtro e estão  obstruindo o fluxo.;Remova as Cestas do Filtro e limpe bem.
Alimentação de tampas;Douwnstacker emperra frequentemente  durante a operação normal.;Sincronização incorreta do downstacker fazendo com que a tampa seja solta muito tarde. Então, a velocidade da Starwheel faz com a tampa prenda no downstacker;Ajuste a sincronização do downstacker  que forma que a tampa seja solta antes.
Alimentação de tampas;O curl da tampa é danificada durante a operação.;Lâminas de divisão não corretamente calçadas causando esmagamento das tampas.;Meça o curl das tampas e ajuste a lacuna entre as Lâminas de Divisão e o Parafuso de Alimentação de 0,000 a 0,003 maior do que a curl.
Alimentação de tampas;A máquina funciona, porém as tampas não são  alimentadas. Pode haver um som de clique.;Lâminas de Corte deixaram uma tampa solta em um lado causando uma obstrução interna.;Remova a Luva de Guia e retire as tampas danificadas. Garanta que não haja tampas no topo da Starwheel.
Elétrico;A máquina funciona, porém as tampas não são  alimentadas. Pode haver um som de clique.;O Sensor Elétrico não está pegando o objetivo na Upper turret.;Aproxime o Sensor do objetivo ao certificar que o objetivo não encoste na face do Sensor.
Alimentação de tampas;A máquina emperra durante condição normal.;Lâminas de Corte deixaram uma tampa solta em um lado causando uma obstrução interna.;O mesmo que 7 acima, exceto que: se uma  ocorrência frequente, gire levemente o Lobo  na Polia de transmissão do downstacker.
Elétrico;A máquina emperra durante condição normal.;O Sensor Elétrico não está pegando o objetivo na Upper turret.;O mesmo que 7 acima, exceto que: se uma  ocorrência frequente, gire levemente o Lobo  na Polia de transmissão do downstacker.
Alimentação de tampas;Um alto ruído de clique ocorre depois que uma  obstrução foi liberada.;Uma tampa foi esmagada entre a Starwheel e o downstacker;Remova o downstacker e retire a tampa.
Alimentação de tampas;Um ruído de clique ou raspagem pode ser ouvido próximo da área de interface onde o Trilho de Guia de Alimentação se estende sobre a Mesa Giratória  Principal.;Um os mais dos mandris Inferiores está muito alto fazendo com que o Mandril se estenda sobre a Mesa Giratória Principal.;1. Localize o Mandril(s) com problema removendo o downstacker e Placa Inferior.  2. Aplique anil na parte do Trilho de Guia da Placa Inferior e acione a máquina.  3. O raio superior do Mandril(s) com problema pegará o anil.  4. Rebaixe o Mandril(s) com problema.
Descarga de tampas;Tampas emperram no Sistema de Descarga.;Trilhos de Guia de Saída ajustados incorretamente.;Ajuste os Trilhos de Guia de Saída então, verifique a operação girando a Torre à mão. As Extremidades devem entrar nos trilhos sem arrastos ou saltos.
Alimentação de compound;Tampas emperram no Sistema de Descarga.;Compound acumulado no Sistema.;Limpe o Sistema de Descarga com solvente. Garanta que todos os Componentes sejam removidos dos deslocamentos nos Trilhos.
Alimentação de compound;Cheiro de borracha queimada presente e o lower chuck está quente;Compound vazou sob o Mandril e endureceu.;Remova o lower chuck. Limpe o compound em excesso e substitua a vedação.
Aplicação de compound;Ponta do bico entortando ou com vazamento;O bico não foi fechado de forma rápida o suficiente ou a ponta está vazando.;Verifique os bicos de compound
Aplicação de compound;Respingos de compound no sistema de descarga;O bico não foi fechado de forma rápida o suficiente ou a ponta está vazando.;Verifique os bicos de compound
Aplicação de compound;Uma ou mais Estações de aplicação pára a aplicação ou aplica de forma errada;Um pedaço de material estranho ou compound endurecido  está entupindo o bico.;Remova a Ponta do bico e limpe com solvente.
Lower/Upper Turret;Rachadura(s) circular visível nas tampas com aplicação de compound.;Material estranho incrustado nos Sense pads ou o upper chuck está arranhando as tampas.;Use um pano umidificado em solvente, alcance sob os upper chucks e limpe cuidadosamente os sense pads.
Pneumático;O fluxo de tampas não para.;As conexões de ar do Cilindro de Ar foram instaladas  incorretamente.;Ajuste as conexões de ar.
Elétrico;O fluxo de tampas não para.;O Sensor Elétrico sob o downstacker não está  sentindo a guia no objetivo.;Aproxime o Sensor ao objetivo certificando que o objetivo não toca na face do Sensor.
Pneumático;A primeira tampa que é descarregada da  máquina não está vindo da primeira Estação.;A pressão de ar no cilindro de operação do downstacker foi alterada.;Determine qual estação está  processando a primeira tampa:  1. Aplique anil ao Mandril n.º 1 e acione a máquina.  2. Conte as tampas começando com aquela com manchas de anil para determinar a Estação.  Por exemplo: Se houver duas Extremidades limpas antes da tampa azul, a primeira tampa está vindo da estação n.º 5.  Mova a guia no Sensor sob a upper turret para corrigir um erro de duas estações. No exemplo, a guia será retornada em duas estações para atrasar a alimentação de tampas para a Estação n.º 1.
Guarda;A máquina não inicia.;A proteção está aberta ou removida.;Feche a Proteção.
Elétrico;A máquina não inicia.;O Sensor quebrou.;Se a Proteção estiver no lugar e a máquina ainda não iniciar, verifique o Sensor e troque conforme necessário.
Alimentação de tampas;A máquina não inicia.;O downstacker está obstruído e o Sensor é acionado.;Libere a obstrução do downstacker e garanta que o downstacker esteja assentado corretamente no Topo da Mesa.
Sistema de névoa;A Escova de Limpeza do bico está derramando  solvente sobre o Topo da Mesa.;O Sistema de Névoa da Escova está alimentando muito solvente para a Escova.;Ajuste o Sistema de Névoa.
Transmissão;O óleo de engrenagem da máquina está entrando na estação central da máquina.;As vedações nos fusos inferior e na Tampa da Engrenagem estão gastas.;Troque as Vedações.
