Nv1;Nv2;Causa;Solucao
Conformação superior;Profundidade do Countersink baixa;Pressão de ar do pistão da matriz central (Die Center Piston) está baixa;Ajustar pressão de ar até atingir a altura correta do Countersink
Conformação superior;Profundidade do Countersink baixa;A pressão de ar do pistão superior (Die Center Piston) está alta;Diminuir a pressão para a referência
Conformação superior;Profundidade do Countersink baixa;Espaçador da matriz central (Die Center Piston) está com dimensão baixa;Aumentar a altura do espaçador da matriz central
Conformação superior;Profundidade do Countersink baixa;Todas as estações estão baixas e o Shut Right está elevado.;Abaixar a altura do Shut Right (anotando os valores)
Conformação inferior;Profundidade do Countersink baixa;Altura do anel do núcleo da matriz (Die Core Ring) está baixo da especificação do fabricante;Trocar o anel do núcleo da matriz
Conformação superior;Profundidade do Countersink alta;Pressão de ar do pistão da matriz central (Die Center Piston) está alta.;Ajustar pressão de ar até atingir a altura correta do Countersink
Conformação superior;Profundidade do Countersink alta;A pressão de ar do pistão superior (Die Center Piston) está muito baixa;Aumentar a pressão para a de referência.
Conformação superior;Profundidade do Countersink alta;A vedação do pistão superior (Die Center Piston) está vazando.;Remover o pistão e trocar a vedação.
Conformação superior;Profundidade do Countersink alta;A Mangueira do ferramental (Die) Superior está vazando.;Remover e trocar a mangueira.
Conformação superior;Profundidade do Countersink alta;O espaçador da matriz central está alto.;Reduzir o espaçador da matriz central.
Conformação superior;Profundidade do Countersink alta;O Shut Height está baixo.;Aumentar a altura do Shut Height
Conformação inferior;Profundidade do Painel é baixa;A vedação do punção do painel (Panel Punch) está vazando.;Reemover o pistão do painel e trocar a vedação
Conformação inferior;Profundidade do Painel é baixa;A pressão de ar do retentor inferior (Lower Tooling Retainer) está baixa.;Verificar e trocar a mangeuria ou reapertar a conexão
Conformação inferior;Profundidade do Painel é baixa;Pressão no pistão do punção do painel (Panel Punch Piston) está baixa.;Aumentar a pressão de ar para o de referência
Conformação inferior;Profundidade do Painel é baixa;Existe uma falha dimensional na Matriz Central (Die Center Nose);Verificar as dimensões no desenho
Conformação superior;Profundidade do Painel é baixa;Presença de scrap entre o punção do painel e a face do Die Center.;Remover o anel do núcleo da matriz, limpar e polir
Conformação inferior;Variação na altura da borda;Problema na matriz de corte e repuxo (Blank e Draw Die).;Trocar ou afiar a matriz de corte e repuxo.
Conformação inferior;Variação na altura da borda;Anel do núcleo da matriz (Die Core Ring) não está propriamente alojado sobre os orings.;Remover o anel do núcleo da matriz e verificar a presença de material estranho no alojamento.
Curler;Variação na altura da borda;Segmentos do Curler desajustado ou desalinhado das calhas de saída.;Verificar o ajuste e o alinhamento das calhas de saída
